Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Dominican Republic,DOM,2227300000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Ecuador,ECU,1322701337.30747
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,El Salvador,SLV,494541718.092298
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Equatorial Guinea,GNQ,1187699010
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Eritrea,ERI,49323000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Estonia,EST,-715465129.889721
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Eswatini,SWZ,31498094.3702929
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Ethiopia,ETH,2626517918.313
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Fiji,FJI,205373209.116505
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Finland,FIN,17579437753.2438
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,France,FRA,43133325471.3567
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,French Polynesia,PYF,26007149.1590192
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Gabon,GAB,41707702.3264655
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Georgia,GEO,1735307118.63
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Germany,DEU,62418993509.2489
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Ghana,GHA,3192320530.7897
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Greece,GRC,1268938505.86333
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Grenada,GRD,154268835.19
